time,open,high,low,close,Volume,Volume MA
1618084500,59786.54,59850,59550,59567.38,273.03790899999944,128.62709705000043
1618084800,59567.38,59709.99,59550,59709.98,167.98116000000002,130.73047825000043
1618085100,59709.99,59796.15,59700.26,59775.08,119.72144699999998,126.72580655000044
1618085400,59775.07,59800,59654.68,59658.63,77.85486399999986,123.41616220000044
1618085700,59658.64,59658.64,59395.71,59424.4,391.8161080000003,137.13562940000045
1618086000,59424.4,59526.09,59325,59495,272.53064499999977,144.11093565000044
1618086300,59495.9,59537.93,59402.24,59521.59,112.62513000000008,143.64918060000042
1618086600,59521.59,59523.53,59309.5,59309.51,159.0330489999996,145.43823035000042
1618086900,59309.5,59399.84,59234.69,59396.79,249.6405770000005,152.10241500000046
1618087200,59396.78,59396.78,59255.63,59270.17,143.82700600000004,153.98285845000044
1618087500,59270.17,59273.36,58952.67,59085.64,616.8726599999964,175.35705670000024
1618087800,59085.64,59085.65,58600,58812.4,753.9873999999908,204.95385104999977
1618088100,58812.4,58812.4,58374.61,58615.28,727.9431719999887,236.13447619999914
1618088400,58619.72,58824.08,58485.84,58758.76,358.4145289999966,249.05423889999898
1618088700,58758.76,59062.58,58758.26,59039.03,271.72645599999953,258.42441134999893
1618089000,59039.02,59039.03,58850,58928.38,261.22316499999926,265.4271293499989
1618089300,58928.39,58928.63,58743.49,58907.43,173.85074700000052,268.95774224999894
1618089600,58907.42,59050,58853.88,58888.95,184.6323369999987,272.9094905499989
1618089900,58888.95,59138.93,58888.94,59077.9,227.81858599999902,281.1579620999989
1618090200,59077.89,59256.36,59034.69,59189.79,127.75915399999954,283.61480504999884
1618090500,59188.29,59189.47,59016.05,59159.19,126.82326499999911,276.3040728499988
1618090800,59159.18,59159.19,59024.02,59130.02,227.5802759999997,279.2840286499988
1618091100,59130.01,59136.88,58917.6,59036.95,170.83434699999998,281.8396736499988
1618091400,59036.95,59109.96,59025.25,59093.1,95.94610799999977,282.7442358499988
1618091700,59093.11,59168.66,59001.51,59161.03,133.46418899999986,269.82663989999884
1618092000,59161.04,59323.07,59100,59282.05,199.38553599999977,266.1693844499988
1618092300,59282.04,59399.84,59213.08,59309.16,165.9929900000003,268.83777744999884
1618092600,59309.17,59335.9,59274.2,59283.5,147.90871099999987,268.28156054999886
1618092900,59283.51,59350.22,59202.02,59281.84,154.85975999999985,263.5425196999989
1618093200,59281.84,59288,59188.39,59285.29,94.1516450000001,261.05875164999884
1618093500,59285.29,59315,59184.83,59314.99,118.07134400000015,236.11868584999903
1618093800,59314.99,59378.53,59280.37,59287.97,134.43648100000001,205.14113989999947
1618094100,59287.97,59295.93,59226.18,59259.05,96.00473100000018,173.54421785000002
1618094400,59259.05,59300,59217.67,59268.33,73.51625100000028,159.29930395000022
1618094700,59268.32,59335.15,59181.43,59237.61,126.05333200000013,152.01564775000026
1618095000,59237.61,59247.37,59128.22,59185.75,133.80885999999998,145.64493250000027
1618095300,59185.76,59185.76,59013.79,59029.17,159.4359560000002,144.92419295000028
1618095600,59029.17,59290.42,59008.39,59289.98,252.13343299999974,148.29924775000032
1618095900,59290.41,59459.98,59290.41,59378.88,169.8997140000001,145.40330415000037
1618096200,59378.89,59445.91,59330.28,59354.97,86.94032499999999,143.3623627000004
1618096500,59358.73,59459.99,59341.99,59411.18,82.69786100000015,141.15609250000045
1618096800,59412.11,59449.99,59351.83,59375.16,112.39569199999987,135.39686330000046
1618097100,59375.17,59568.5,59375.15,59566.24,124.84510899999984,133.09740140000048
1618097400,59566.24,59697.89,59487.32,59656.79,180.56751599999725,137.32847180000036
1618097700,59656.79,59715,59600.59,59698.91,160.30097499999997,138.67031110000036
1618098000,59698.91,59842.63,59664.76,59780.75,209.87429399999994,139.19474900000037
1618098300,59780.75,59780.76,59650.74,59749.97,112.07236999999998,136.49871800000034
1618098600,59749.96,59828.11,59712.46,59739.76,175.79579099999958,137.89307200000033
1618098900,59739.76,59796.49,59655.55,59769.13,139.69284299999993,137.13472615000032
1618099200,59769.13,60047.2,59677.45,59691.63,390.67555999999206,151.96092189999993
1618099500,59691.63,59834.25,59544.94,59828.11,284.70783599999663,160.29274649999974
